kod,sirket_adi,url,talep_tarihi,sonuclar_aciklandi,halka_arz_fiyati,dagitim_yontemi,toplam_lot,sermaye_artisi_lot,ortak_satisi_lot,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_kisi,bireysel_lot,bireysel_lot_basina_kisi,ilk_islem_tarihi,fon_kullanim_yeri,yil
KAYSE,Kayseri Şeker Fabrikası A.Ş.,https://halkarz.com/kayseri-seker-fabrikasi-a-s/,,0,16.27,Eşit Dağıtım,106000000.0,106000000.0,0.0,100.0,0.0,1618666.0,94484927.0,58.37,18 Mayıs 2023,"- %10-15 Arge faaliyetleri. - %55-60 İşletme sermayesi. - %15-20 Güneş enerjisi santrali yatırımı. - %20-25 Entegrasyon ve modernizasyon yatırımları. * İzahname, 277.",2023
BIGCH,(BigChefs) Büyük Şefler Gıda Turizm Tekstil Danışmanlık Organizasyon Eğitim San. ve Tic. A.Ş.,https://halkarz.com/big-chefs-buyuk-sefler-gida-turizm-tekstil-danismanlik-organizasyon-egitim-san-ve-tic-a-s/,,0,22.50,Eşit Dağıtım,34000000.0,7000000.0,20000000.0,25.93,74.07,1800797.0,30200000.0,16.77,10 Mayıs 2023,"- %50-60 Yurtiçi ve yurtdışı restoran büyümesi. - %20-30 İşletme sermayesi. - %20-30 Finansal borçların azaltılması. * İzahname, Sayfa 252.",2023
CWENE,Cw Enerji Mühendislik Tic. ve San. A.Ş.,https://halkarz.com/cw-enerji-muhendislik-tic-ve-san-a-s/,,0,108.60,Eşit Dağıtım,25000000.0,18750000.0,6250000.0,75.0,25.0,nan,nan,nan,5 Mayıs 2023,"- %43-45 İşletme sermayesi. - %13-15 Yatırım ve modernizasyon harcamaları. - %11-13 Güneş Enerjisi Santrali alımları. - %10-12 Öz tüketime yönelik çatı ve arazi tipi Güneş Enerjisi Santrali kurulumu. - %8-10 Depolama alanlarının genişletilmesi. - %5-7 Finansman maliyetinin azaltılması. - %3-5 Proje geliştirme amaçlı arazi satın alımları. * İzahname, Sayfa 299.",2023
GRTHO,Graınturk Holding A.Ş.,https://halkarz.com/grainturk-holding-a-s/,,0,17.60,Eşit Dağıtım,25000000.0,25000000.0,0.0,100.0,0.0,nan,nan,nan,26 Nisan 2023,"- %55-60 İşletme sermayesi. - %40-45 Planlanan yeşil enerji yatırımlarının finanse edilmesi. * İzahname, Sayfa 293.",2023
EUPWR,Europower Enerji ve Otomasyon Teknolojileri San. Tic. A.Ş.,https://halkarz.com/europower-enerji-ve-otomasyon-teknolojileri-san-tic-a-s/,,0,40.60,Eşit Dağıtım,50000000.0,45000000.0,3787500.0,92.24,7.76,nan,nan,nan,20 Nisan 2023,"- %5-25 Arge-Ürge çalışmaları, yeni yatırımlar. - %5-20 Mesken ve küçük işletme tipi kompakt güneş santrali ekipmanı(sunjunior) güneş santrali inverteri ve akım-gerilim transformatörü imalatı için gerekli makine, techizat, cihaz, ekipman alımı. - %5-25 Devam eden yatırımların sonuçlandırması, üretim kapasitesi/çeşitliliği artırılması, gayrimenkul, teçhizat, ekipman, taşıt alım ve yenilenmeleri. - %5-25 İş makinesi, makine, teçhizat, ekipman, taşıt alımı ve yenilemeleri. - %5-30 Yeni fabrika alanı, fabrika arazisi veya binası gibi gayrimenkul edinimi, fabrika binası genişletme/yenileme veya yeni tesis kurulumu. - %5-15 Güneş paneli ve transformatör fabrikası çeşitlilik ve kapasite artırımına ilişkin yatırımlar. - %10-20 Finansal borçların ödenmesi. - %20-40 İşletme sermayesi olarak değenlendirme. - İzahname, Sayfa 255.",2023
CVKMD,Cvk Maden İşletmeleri San. ve Tic. A.Ş.,https://halkarz.com/cvk-maden-isletmeleri-san-ve-tic-a-s/,,0,105.00,Eşit Dağıtım,8400000.0,nan,0.0,nan,nan,nan,nan,nan,13 Nisan 2023,,2023
KOPOL,Koza Polyester San. ve Tic. A.Ş.,https://halkarz.com/koza-polyester-san-ve-tic-a-s/,,0,24.50,Eşit Dağıtım,44390000.0,23160000.0,10615000.0,68.57,31.43,nan,nan,nan,13 Nisan 2023,"- %75-80 Finansal borç ödemeleri, mevcut kredilerin kapatılması. - %20-25 İşletme sermayesi. * İzahname, Sayfa 255.",2023
EKSUN,Eksun Gıda Tarım San. ve Tic. A.Ş.,https://halkarz.com/eksun-gida-tarim-san-ve-tic-a-s/,,0,48.90,Eşit Dağıtım,20042502.0,20042502.0,0.0,100.0,0.0,nan,nan,nan,24 Mart 2023,"- %20 Yenilenebilir enerji santrali yatırımları. - %10 Un silosu, tesis, makine ve cihaz yatırımları. - %30 Finansal borçların ödenmesi. - %40 İşletme sermayesi. * Fon Kullanım Yeri Raporu, Sayfa 2,3.",2023
AKFYE,Akfen Yenilenebilir Enerji A.Ş.,https://halkarz.com/akfen-yenilenebilir-enerji-a-s/,,0,9.80,Oransal Dağıtım,340370703.0,nan,340370703.0,nan,nan,nan,nan,nan,16 Mart 2023,"- Halka arz ortak satışı şeklinde gerçekleştirilecek olup Şirket'e doğrudan nakit girişi olmayacaktır. Halka arzdan elde edilecek gelirin kullanımı Halka Arz Eden Pay Sahibi'nin tasarrufunda olacaktır. * İzahname, 342.",2023
GOKNR,Göknur Gıda Maddeleri Enerji İmalat İthalat İhracat Tic. ve San. A.Ş.,https://halkarz.com/goknur-gida-maddeleri-enerji-imalat-ithalat-ihracat-tic-ve-san-a-s/,,0,11.00,Eşit Dağıtım,79250000.0,65000000.0,14250000.0,82.02,17.98,nan,nan,nan,9 Mart 2023,"- %35 Bahçe yatırımları. - %15 Güneş enerjisi yatırımları. - %15 Makine ve ekipman yenileme. - %15 İşletme sermayesi. - %20 Finansal borçların ödenmesi. * İzahname, Sayfa 301.",2023
